Extraction_ID,Prep_ID,Date_DNA-extraction,Date_Qubit,Date_DNA_Dilution,plateID_S1,plate_col_S1,plate_row_S1,Date_S1_PCR,Date_S1BC,plateID_S2,plate_col_S2,plate_row_S2,FWD_barcode,REV_barcode,Date_S2_PCR,Date_GC_S2PCR,Date_S2BC,Date_GC_S2BC,Date_final-qubit,Sucsesfull-prep_(Y/N),
30,AG_LPBOOT_9,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc010,20260514,20260723,20260724,,,N,Primers still present and weak band but potentaly salvegable with bead clean
31,EF_LPC_10,,,20260728,SEKI-EF-LPC-S1,2,H,,,,,,,,,,,,,N,
31,,,,,,,,,,,,,,,,,,,,,
32,AG_LPBOOT_10,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc011,20260514,20260723,20260724,,,Y,
33,AG_LPBOOT_11,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc012,20260514,20260723,20260724,,,N,
34,EF_LPC_11,,,20260728,SEKI-EF-LPC-S1,2,C,20260729,20260729,SEKI-EF-LPC-S2,2,A,PCR_F_bc003,PCR_R_bc009,,,,,,N,
34,,,,,,,,,,,,,,,,,,,,,
35,EF_LPC_12,,,20260728,SEKI-EF-LPC-S1,2,H,,,,,,,,,,,,,N,
35,,,,,,,,,,,,,,,,,,,,,
36,EF_LPC_13,,,20260728,SEKI-EF-LPC-S1,2,E,20260729,20260729,SEKI-EF-LPC-S2,2,B,PCR_F_bc003,PCR_R_bc010,,,,,,N,
36,,,,,,,,,,,,,,,,,,,,,
37,EF_LPC_14,,,20260728,SEKI-EF-LPC-S1,2,F,20260729,20260729,SEKI-EF-LPC-S2,2,C,PCR_F_bc003,PCR_R_bc011,,,,,,N,
37,,,,,,,,,,,,,,,,,,,,,
38,EF_LPC_15,,,20260728,SEKI-EF-LPC-S1,2,G,20260729,20260729,SEKI-EF-LPC-S2,2,D,PCR_F_bc003,PCR_R_bc012,,,,,,N,
38,,,,,,,,,,,,,,,,,,,,,
39,EF_LPC_16,,,20260728,SEKI-EF-LPC-S1,2,H,20260729,,,,,,,,,,,,N,
39,,,,,,,,,,,,,,,,,,,,,
40,EF_LPC_17,,,20260728,SEKI-EF-LPC-S1,3,A,20260729,20260729,SEKI-EF-LPC-S2,2,E,PCR_F_bc003,PCR_R_bc013,,,,,,N,
40,,,,,,,,,,,,,,,,,,,,,
41,AG_LPBOOT_12,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc013,20260514,20260723,20260724,,,Y,
42,AG_LPBOOT_13,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc014,20260514,20260723,20260724,,,Y,
43,EF_LPC_18,,,20260728,SEKI-EF-LPC-S1,3,B,20260729,20260729,SEKI-EF-LPC-S2,2,F,PCR_F_bc003,PCR_R_bc014,,,,,,N,
43,,,,,,,,,,,,,,,,,,,,,
44,EF_LPC_19,,,20260728,SEKI-EF-LPC-S1,3,C,20260729,20260729,SEKI-EF-LPC-S2,2,G,PCR_F_bc003,PCR_R_bc015,,,,,,N,
44,EF_LPD_5,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc005,20260813,20260814,,,,Y,
45,EF_LPC_20 - NegC_B4,,,20260728,SEKI-EF-LPC-S1,3,D,20260729,20260729,SEKI-EF-LPC-S2,2,H,PCR_F_bc003,PCR_R_bc016,,,,,,N,
45,,,,,,,,,,,,,,,,,,,,,
46,EF_LPC_21,,,20260728,SEKI-EF-LPC-S1,3,E,20260729,20260729,SEKI-EF-LPC-S2,3,A,PCR_F_bc003,PCR_R_bc017,,,,,,N,
46,,,,,,,,,,,,,,,,,,,,,
47,EF_LPC_22,,,20260728,SEKI-EF-LPC-S1,3,F,20260729,20260729,SEKI-EF-LPC-S2,3,B,PCR_F_bc003,PCR_R_bc018,,,,,,N,
47,,,,,,,,,,,,,,,,,,,,,
48,AG_LPBOOT_14,,,20260505,SEKI-LPBOOT-AG-S1-2,,,20260507,20260512,SEKI-LPBOOT-AG-S2-2,,,PCR_F_bc002,PCR_R_bc015,20260514,20260723,20260724,,,Y,
49,EF_LPC_23,,,20260728,SEKI-EF-LPC-S1,3,G,20260729,20260729,SEKI-EF-LPC-S2,3,C,PCR_F_bc003,PCR_R_bc019,,,,,,N,
49,,,,,,,,,,,,,,,,,,,,,
50,EF_LPC_24,,,20260728,SEKI-EF-LPC-S1,3,H,,,,,,,,,,,,,N,
50,,,,,,,,,,,,,,,,,,,,,
51,EF_LPC_25,,,20260728,SEKI-EF-LPC-S1,4,A,20260729,20260729,SEKI-EF-LPC-S2,3,D,PCR_F_bc003,PCR_R_bc020,,,,,,N,
51,EF_LPD_6,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc006,20260813,20260814,,,,Y,
52,EF_LPC_26,,,20260728,SEKI-EF-LPC-S1,4,B,20260729,20260729,SEKI-EF-LPC-S2,3,E,PCR_F_bc003,PCR_R_bc021,,,,,,N,
52,,,,,,,,,,,,,,,,,,,,,
53,EF_LPC_27,,,20260728,SEKI-EF-LPC-S1,4,C,20260729,20260729,SEKI-EF-LPC-S2,3,F,PCR_F_bc003,PCR_R_bc022,,,,,,N,
53,,,,,,,,,,,,,,,,,,,,,
54,EF_LPC_28,,,20260728,SEKI-EF-LPC-S1,4,D,20260729,20260729,SEKI-EF-LPC-S2,3,G,PCR_F_bc003,PCR_R_bc023,,,,,,N,
54,,,,,,,,,,,,,,,,,,,,,
55,EF_LPC_29,,,20260728,SEKI-EF-LPC-S1,4,E,20260729,20260729,SEKI-EF-LPC-S2,3,H,PCR_F_bc003,PCR_R_bc024,,,,,,N,
55,,,,,,,,,,,,,,,,,,,,,
56,EF_LPC_30,,,20260728,SEKI-EF-LPC-S1,4,F,20260729,20260729,SEKI-EF-LPC-S2,4,A,PCR_F_bc003,PCR_R_bc025,,,,,,N,
56,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,
63,AG_LPA_9,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc017,20260313,20260313,20260318,20260318,,Y,
64,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,
67,AG_LPA_10,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc018,20260313,20260313,20260318,20260318,,Y,
68,AG_LPA_11,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc019,20260313,20260313,20260318,20260318,,Y,
69,EF_LPE_1,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc009,20260819,20260819,20260820,20260820,,Y,
70,,,,,,,,,,,,,,,,,,,,,
71,AG_LPA_12,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc020,20260313,20260313,20260318,20260318,,N,
72,EF_LPE_2,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc010,20260819,20260819,20260820,20260820,,Y,
73,EF_LPE_3,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc011,20260819,20260819,20260820,20260820,,Y,
74,AG_LPA_13,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc021,20260313,20260313,20260318,20260318,,Y,
75,AG_LPA_14,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc022,20260313,20260313,20260318,20260318,,Y,
76,,,,,,,,,,,,,,,,,,,,,
77,EF_LPE_4,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc012,20260819,20260819,20260820,20260820,,Y,
78,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,
80,AG_LPA_15,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc023,20260313,20260313,20260318,20260318,,Y,
81,,,,,,,,,,,,,,,,,,,,,
82,EF_LPE_5,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc013,20260819,20260819,20260820,20260820,,Y,
83,EF_LPE_6,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,,,,,,,,,,,,N,Faliur during first step bead cleaning or second step PCR
84,,,,,,,,,,,,,,,,,,,,,
85,EF_LPE_7,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,,,,,,,,,,,,N,Faliur during first step bead cleaning or second step PCR
86,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,
88,AG_LPA_16,,,20260219,,,,20260219,20260313,,,,PCR_F_bc001,PCR_R_bc024,20260313,20260313,20260318,20260318,,Y,
89,EF_LPE_8,,,20260814,,,,,,,,,,,,,,,,N,"S1 PCR was unsucsesfull, qubit before using dilution"
90,EF_LPE_9,,,20260814,,,,,,,,,,,,,,,,N,"S1 PCR was unsucsesfull, qubit before using dilution"
91,EF_LPE_10,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc018,20260819,20260819,20260820,20260820,,Y,
92,EF_LPE_11,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc019,20260819,20260819,20260820,20260820,,Y,
93,EF_LPE_12,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc020,20260819,20260819,20260820,20260820,,Y,
94,EF_LPE_13,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc021,20260819,20260819,20260820,20260820,,Y,
95,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,
97,EF_LPE_14,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc022,20260819,20260819,20260820,20260820,,Y,
# of samples completed,0,,,,,,,,,,,,,,,,,,,,
# of samples left,97,,,,,,,,,,,,,,,,,,,,
MMC_B1,AG_LPBOOT_7,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc008,20260507,20260510,,,,,
MMC_B4,EF_LPC_31,,,20260728,SEKI-EF-LPC-S1,4,G,20260729,,,4,B,PCR_F_bc004,PCR_R_bc001,,,,,,N,
MMC_B4,,,,,,,,,,,,,,,,,,,,,
MMC_B5,EF_LPD_7,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc007,20260813,20260814,,,,Y,
MMC_B6,EF_LPE_15,,,20260814,,,,,,,,,,,,,,,,N,MMC Never added
NegC_B1,AG_LPBOOT_8,,,20260505,SEKI-LPBOOT-AG-S1-1,,,20260505,20260506,SEKI-LPBOOT-AG-S2-1,,,PCR_F_bc002,PCR_R_bc009,20260507,20260510,,,,,
NegC_B5,EF_LPD_8,,,20260806,SEKI-LPD-EF-S1,N/A,N/A,20260811,20260812,SEKI_LPD_EF_S2-3.0,N/A,N/A,PCR_F_bc003,PCR_R_bc008,20260813,20260814,,,,Y,
NegC_B6,EF_LPE_16,,,20260814,SEKI-LPE-EF-S1,N/A,N/A,20260817,20260819,SEKI_LPE_EF_S2,N/A,N/A,PCR_F_bc003,PCR_R_bc024,20260819,20260819,20260820,20260820,,Y,
