"","Extraction_ID","round_original","round_H2O"
"5",9,4.7,185.3
"7",11,6,184
"1",1,7.7,182.3
"16",22,7.7,182.3
"20",27,8.1,181.9
"40",65,6,184
"38",61,6.1,183.9
"32",54,9.3,180.7
"34",98,5.2,184.8
"9",13,7.2,182.8
"2",5,7.3,182.7
"13",18,7.9,182.1
"18",24,11.1,178.9
"12",17,11.6,178.4
"27",44,12.1,177.9
"3",7,12.8,177.2
"4",8,12.1,177.9
"15",20,14.4,175.6
"33",55,19.5,170.5
"11",16,15.9,174.1
"35",57,21.4,168.6
"6",10,23,167
