"","Extraction_ID","volXtra","remaining_original_ul","dilutions_completed","LP_sucessful","Prep_ID","Date_DNA_Dilution","original_ng_per_ul","ng_DNA_undiluted"
"1",12,"A",-0.200000000000003,1,"Y","AG_LPBOOT_1","20260505",8.12,-1.62400000000002
"2",37,"A",-0.200000000000003,1,"N","EF_LPC_14","20260728",2.84,-0.568000000000008
"3",40,"A",-0.200000000000003,1,"N","EF_LPC_17","20260728",4.24,-0.848000000000012
"4",15,"A",1.4,1,"N","AG_LPBOOT_2","20260505",8.76,12.264
"5",41,"A",4.7,1,"Y","AG_LPBOOT_12","20260505",9.48,44.556
"6",23,"A",14.9,1,"Y","AG_LPBOOT_4","20260505",12.68,188.932
