"","Extraction_ID","date_extracted","volXtra","xtra_box_label","date_ground_code","mg_tube_empty","mg_tube_full","mg_roots_in_TD_tube","Tree_Name","specialCases"
"1",18,NA,"A","unspecified date yoghurt container",251125,NA,NA,"96.15","PILA1c_11","confirm_label"
"2",37,NA,"A","8 August, 2025",250827,NA,NA,"41.43","PILA4a_7","attend_to_grounds"
"3",46,NA,"D","24-Jun-25",250624,NA,NA,"103.59","PILA5a_6","attend_to_grounds"
"4",56,20260414,NA,NA,260113,2206.05,"2248.71","42.66","PILA6a_7","attend_to_grounds"
"5",70,NA,"B","24-Jun-25",250624,NA,NA,"67.21","PILA8a_4","attend_to_grounds"
"6",81,NA,"D","8 August, 2025",250814,NA,NA,"106.8","PILA8c_5","confirm_label"
"7",85,20260414,"D","8 August, 2025",250814,NA,NA,"110.52","PILA8b_8","attend_to_grounds"
"8",96,NA,"C","I forgot to note",260223,2209.48,"2307.59","98.11","PILA8b_8","attend_to_grounds"
