Extraction_ID
2
3
4
6
14
21
25
29
31
35
38
43
45
51
52
60
63
67
68
71
74
75
80
88
MMC_A
NegC_A
12
15
19
23
26
28
30
32
33
41
42
48
49
50
MMC_B1
NegC_B1
53
58
59
62
66
69
70
77
84
87
90
91
92
94
MMC_B2
NegC_B2
1
5
7
8
9
10
11
13
16
17
18
20
22
24
27
44
54
55
57
61
65
98
MMC_bootEF
NegC_bootEF
34
36
37
39
40
46
47
64
72
73
76
78
79
81
82
83
85
86
89
93
95
97
99
MMC_C
NegC_C
